Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
LIONEL MESSI,06/07,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2006-09-27,A,FC BARCELONA,SV WERDER BREMEN,1:01,RW,89,1:01,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,06/07,LALIGA,6,2006-10-15,H,FC BARCELONA,SEVILLA FC,3:01,RW,80,3:01,RIGHT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,10,2006-10-28,A,MANCHESTER UNITED,BOLTON WANDERERS,0:04,OTHER,82,0:03,OTHER,LOUIS SAHA
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,11,2006-11-04,H,MANCHESTER UNITED,PORTSMOUTH FC,3:00,RW,10,2:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,15,2006-11-29,H,MANCHESTER UNITED,EVERTON FC,3:00,OTHER,39,1:00,OTHER,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,17,2006-12-09,H,MANCHESTER UNITED,MANCHESTER CITY,3:01,OTHER,84,3:01,OTHER,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,19,2006-12-23,A,MANCHESTER UNITED,ASTON VILLA,0:03,OTHER,85,0:03,OTHER,GARY NEVILLE
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,19,2006-12-23,A,MANCHESTER UNITED,ASTON VILLA,0:03,OTHER,58,0:01,OTHER,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,20,2006-12-26,H,MANCHESTER UNITED,WIGAN ATHLETIC,3:01,OTHER,50,2:00,PENALTY REBOUND,JI-SUNG PARK
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,20,2006-12-26,H,MANCHESTER UNITED,WIGAN ATHLETIC,3:01,OTHER,47,1:00,OTHER,PAUL SCHOLES
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,21,2006-12-30,H,MANCHESTER UNITED,READING FC,3:02,RW,58,2:01,OTHER,OLE GUNNAR SOLSKJAER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,21,2006-12-30,H,MANCHESTER UNITED,READING FC,3:02,RW,77,3:01,OTHER,RYAN GIGGS
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,23,2007-01-13,H,MANCHESTER UNITED,ASTON VILLA,3:01,OTHER,34,3:00,HEADER,MICHAEL CARRICK
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,25,2007-01-31,H,MANCHESTER UNITED,WATFORD FC,4:00,RW,12,1:00,PENALTY,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,26,2007-02-03,A,MANCHESTER UNITED,TOTTENHAM HOTSPUR,0:04,RW,45,0:01,PENALTY,OTHER
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,28,2007-02-24,A,MANCHESTER UNITED,FULHAM FC,1:02,OTHER,88,1:02,SOLO RUN,OTHER
CRISTIANO RONALDO,06/07,FA CUP,SIXTH ROUND,2007-03-10,A,MANCHESTER UNITED,MIDDLESBROUGH FC,2:02,RW,68,2:02,PENALTY,OTHER
LIONEL MESSI,06/07,LALIGA,26,2007-03-10,H,FC BARCELONA,REAL MADRID,3:03,RW,28,2:02,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,06/07,LALIGA,26,2007-03-10,H,FC BARCELONA,REAL MADRID,3:03,RW,90+1,3:03,LEFT-FOOTED SHOT,RONALDINHO GAACHO
LIONEL MESSI,06/07,LALIGA,26,2007-03-10,H,FC BARCELONA,REAL MADRID,3:03,RW,11,1:01,LEFT-FOOTED SHOT,SAMUEL ETOO
LIONEL MESSI,06/07,LALIGA,27,2007-03-17,A,FC BARCELONA,RECREATIVO HUELVA,0:04,RW,86,0:04,LEFT-FOOTED SHOT,OTHER
